file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_width,window_point_count,window_mean_y,manual_label
flex_4.csv,sensor2,timestamp,1,184583.88605275628,185604.21984093075,1020.3337881744665,20,4.702162449999999,Crack 3
flex_4.csv,sensor2,timestamp,2,185604.21984093075,186588.75244355522,984.5326026244729,20,4.706989850000001,Crack 3
flex_4.csv,sensor2,timestamp,3,188002.89927277947,188826.32654042903,823.4272676495602,17,4.69439294117647,Crack 2
flex_4.csv,sensor2,timestamp,4,180251.9426012086,182829.62796080724,2577.685359598632,52,4.7207771346153855,Crack 2
flex_8_double.csv,sensor2,timestamp,1,540722.4891848983,543442.397812639,2719.9086277406896,54,35.4248206111111,Crack 3
flex_8_double.csv,sensor2,timestamp,2,532294.1303507885,534879.7225030852,2585.592152296682,52,35.462660423076926,Crack 3
flex_8_double.csv,sensor2,timestamp,3,525947.6768860603,528701.1646326619,2753.487746601575,55,35.361616363636365,Crack 2
flex_8_double.csv,sensor2,timestamp,4,546884.2574958911,549604.1661236318,2719.9086277406896,55,35.35446501818182,Crack 2
flex_8_double.csv,sensor2,timestamp,5,551215.9638289595,552693.4450588434,1477.4812298838515,29,35.33764641379311,Crack 1
flex_8_double.csv,sensor2,timestamp,6,519584.4338619016,522505.8172028082,2921.383340906643,59,35.39578440677966,Crack 1
flex_8_triple.csv,sensor2,timestamp,1,209874.4281808355,210601.21331640994,726.7851355744351,15,38.387564000000005,Crack 3
flex_8_triple.csv,sensor2,timestamp,2,208456.31084312926,208917.1989778838,460.8881347545248,9,38.063098,Crack 3
flex_8_triple.csv,sensor2,timestamp,3,212657.48345608395,214447.85659493806,1790.3731388541055,36,37.743990222222216,Crack 1
flex_8_triple.csv,sensor2,timestamp,4,218010.87640592494,220439.40234674685,2428.5259408219135,48,37.55496985416667,Crack 1
flex_8_triple.csv,sensor2,timestamp,5,203687.8912950921,205566.89676755283,1879.0054724607326,38,37.871072815789475,Crack 2
flex_8_triple.csv,sensor2,timestamp,6,197448.1750091847,199362.6334150881,1914.458405903395,38,37.661882289473674,Crack 1
