file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_width,window_point_count,window_mean_y,manual_label
flex_4.csv,sensor2,timestamp,1,180361.73762502268,182108.43351738292,1746.695892360236,35,4.730918171428571,Crack 1
flex_4.csv,sensor2,timestamp,2,182915.01174290705,183449.16950815482,534.1577652477717,10,4.68271,Crack 2
flex_4.csv,sensor2,timestamp,3,184576.24239282764,185564.43425853606,988.191865708417,20,4.702162449999999,Crack 3
flex_4.csv,sensor2,timestamp,4,185617.8500350608,186638.0913666841,1020.2413316232851,20,4.7072021500000005,Crack 3
flex_4.csv,sensor2,timestamp,5,188037.58471163327,188801.43031593758,763.8456043043116,15,4.697235066666667,Crack 2
flex_4.csv,sensor2,timestamp,6,190932.71979927624,192759.53935642363,1826.8195571473916,36,4.734355305555556,Crack 1
flex_8_double.csv,sensor2,timestamp,1,532351.7435996897,534831.5438324282,2479.8002327384893,49,35.46876040816327,Crack 3
flex_8_double.csv,sensor2,timestamp,2,540768.0130200797,543539.6361367599,2771.623116680188,55,35.4221401090909,Crack 3
flex_8_double.csv,sensor2,timestamp,3,546977.1687035515,549694.7991621146,2717.6304585631005,54,35.355387962962965,Crack 2
flex_8_double.csv,sensor2,timestamp,4,526010.0198013929,528727.650259956,2717.6304585631005,54,35.36259953703704,Crack 2
flex_8_triple.csv,sensor2,timestamp,1,208589.85727806602,208908.66166165777,318.8043835917488,7,38.13114314285714,Crack 3
flex_8_triple.csv,sensor2,timestamp,2,209878.35832841604,210515.96709559954,637.6087671834975,13,38.48836561538462,Crack 3
flex_8_triple.csv,sensor2,timestamp,3,212734.31426475887,214421.32079459858,1687.0065298397094,34,37.74845926470588,Crack 2
flex_8_triple.csv,sensor2,timestamp,4,218021.15362598884,220438.753534893,2417.5999089041725,48,37.55496985416667,Crack 1
flex_8_triple.csv,sensor2,timestamp,5,204007.04426393448,205601.0661818933,1594.021917958802,32,37.88123253125,Crack 2
flex_8_triple.csv,sensor2,timestamp,6,197644.24010808233,199716.46860142876,2072.2284933464252,42,37.66380592857143,Crack 1
