file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_width,window_point_count,window_mean_y,manual_label
flex_4.csv,sensor2,timestamp,1,185503.94558549274,186658.78000333242,1154.83441783968,23,4.7024741739130445,Crack 3
flex_4.csv,sensor2,timestamp,2,184514.0875130587,185542.0170498171,1027.9295367583982,20,4.70216245,Crack 3
flex_4.csv,sensor2,timestamp,3,187978.59076657778,188778.09151738987,799.5007508120907,16,4.695769437499999,Crack 2
flex_8_double.csv,sensor2,timestamp,1,519489.03995345224,521807.5523661753,2318.5124127230374,47,35.41500293617021,Crack 1
flex_8_double.csv,sensor2,timestamp,2,526043.636497526,528610.3551550912,2566.7186575651867,52,35.36490403846154,Crack 2
flex_8_double.csv,sensor2,timestamp,3,531747.4557365598,534901.3322569667,3153.8765204069205,63,35.438589714285705,Crack 3
flex_8_double.csv,sensor2,timestamp,4,540672.2552517538,543490.612993394,2818.357741640182,56,35.42066705357143,Crack 3
flex_8_double.csv,sensor2,timestamp,5,546728.3692084926,549580.2788280095,2851.909619516926,57,35.35244329824561,Crack 2
flex_8_double.csv,sensor2,timestamp,6,551190.7689660896,552750.9312873547,1560.1623212650884,32,35.3382005,Crack 1
flex_8_triple.csv,sensor2,timestamp,1,209861.678065049,210612.87520804914,751.1971430001431,15,38.387564000000005,Crack 3
flex_8_triple.csv,sensor2,timestamp,2,208557.66888915302,208863.64311908203,305.9742299290083,6,38.19794316666667,Crack 3
flex_8_triple.csv,sensor2,timestamp,3,212643.32478291093,214461.1716783715,1817.8468954605632,37,37.742425729729725,Crack 2
flex_8_triple.csv,sensor2,timestamp,4,217952.87759638487,220508.66234049774,2555.784744112869,51,37.551818156862744,Crack 1
flex_8_triple.csv,sensor2,timestamp,5,203788.07059908324,205551.92204220337,1763.851443120133,36,37.87553738888889,Crack 3
flex_8_triple.csv,sensor2,timestamp,6,203680.0796944024,205587.9190104303,1907.8393160279084,38,37.871072815789475,Crack 2
flex_8_triple.csv,sensor2,timestamp,7,197830.57235752433,199810.40561000613,1979.833252481796,40,37.66470065,Crack 1
